"keyword","time","value"
"YCBD","2022-09-01",0
"YCBD","2022-09-02",0
"YCBD","2022-09-03",100
"YCBD","2022-09-04",21
"YCBD","2022-09-05",0
"YCBD","2022-09-06",0
"YCBD","2022-09-07",0
"YCBD","2022-09-08",22
"YCBD","2022-09-09",17
"YCBD","2022-09-10",0
"YCBD","2022-09-11",37
"YCBD","2022-09-12",41
"YCBD","2022-09-13",0
"YCBD","2022-09-14",0
"YCBD","2022-09-15",34
"YCBD","2022-09-16",0
"YCBD","2022-09-17",0
"YCBD","2022-09-18",0
"YCBD","2022-09-19",0
"YCBD","2022-09-20",0
"YCBD","2022-09-21",0
"YCBD","2022-09-22",0
"YCBD","2022-09-23",0
"YCBD","2022-09-24",26
"YCBD","2022-09-25",0
"YCBD","2022-09-26",0
"YCBD","2022-09-27",18
"YCBD","2022-09-28",0
"YCBD","2022-09-29",0
"YCBD","2022-09-30",0
