"keyword","time","value"
"BBBY","2022-10-01",0
"BBBY","2022-10-02",0
"BBBY","2022-10-03",0
"BBBY","2022-10-04",100
"BBBY","2022-10-05",0
"BBBY","2022-10-06",0
"BBBY","2022-10-07",0
"BBBY","2022-10-08",0
"BBBY","2022-10-09",0
"BBBY","2022-10-10",0
"BBBY","2022-10-11",0
"BBBY","2022-10-12",0
"BBBY","2022-10-13",0
"BBBY","2022-10-14",0
"BBBY","2022-10-15",0
"BBBY","2022-10-16",0
"BBBY","2022-10-17",0
"BBBY","2022-10-18",0
"BBBY","2022-10-19",0
"BBBY","2022-10-20",0
"BBBY","2022-10-21",0
"BBBY","2022-10-22",0
"BBBY","2022-10-23",59
"BBBY","2022-10-24",0
"BBBY","2022-10-25",0
"BBBY","2022-10-26",0
"BBBY","2022-10-27",0
"BBBY","2022-10-28",0
"BBBY","2022-10-29",0
"BBBY","2022-10-30",0
"BBBY","2022-10-31",0
