"keyword","time","value"
"ELYM","2022-06-01",0
"ELYM","2022-06-02",0
"ELYM","2022-06-03",0
"ELYM","2022-06-04",44
"ELYM","2022-06-05",0
"ELYM","2022-06-06",0
"ELYM","2022-06-07",0
"ELYM","2022-06-08",0
"ELYM","2022-06-09",91
"ELYM","2022-06-10",0
"ELYM","2022-06-11",0
"ELYM","2022-06-12",0
"ELYM","2022-06-13",0
"ELYM","2022-06-14",0
"ELYM","2022-06-15",0
"ELYM","2022-06-16",0
"ELYM","2022-06-17",0
"ELYM","2022-06-18",0
"ELYM","2022-06-19",0
"ELYM","2022-06-20",100
"ELYM","2022-06-21",54
"ELYM","2022-06-22",0
"ELYM","2022-06-23",94
"ELYM","2022-06-24",0
"ELYM","2022-06-25",31
"ELYM","2022-06-26",0
"ELYM","2022-06-27",34
"ELYM","2022-06-28",0
"ELYM","2022-06-29",89
"ELYM","2022-06-30",0
