"keyword","time","value"
"IRMD","2022-06-01",0
"IRMD","2022-06-02",68
"IRMD","2022-06-03",43
"IRMD","2022-06-04",0
"IRMD","2022-06-05",52
"IRMD","2022-06-06",0
"IRMD","2022-06-07",0
"IRMD","2022-06-08",0
"IRMD","2022-06-09",0
"IRMD","2022-06-10",69
"IRMD","2022-06-11",0
"IRMD","2022-06-12",0
"IRMD","2022-06-13",0
"IRMD","2022-06-14",0
"IRMD","2022-06-15",0
"IRMD","2022-06-16",0
"IRMD","2022-06-17",85
"IRMD","2022-06-18",0
"IRMD","2022-06-19",0
"IRMD","2022-06-20",0
"IRMD","2022-06-21",0
"IRMD","2022-06-22",0
"IRMD","2022-06-23",100
"IRMD","2022-06-24",0
"IRMD","2022-06-25",0
"IRMD","2022-06-26",77
"IRMD","2022-06-27",0
"IRMD","2022-06-28",40
"IRMD","2022-06-29",0
"IRMD","2022-06-30",67
