"keyword","time","value"
"TSLA","2022-10-01",16
"TSLA","2022-10-02",12
"TSLA","2022-10-03",77
"TSLA","2022-10-04",72
"TSLA","2022-10-05",60
"TSLA","2022-10-06",48
"TSLA","2022-10-07",53
"TSLA","2022-10-08",16
"TSLA","2022-10-09",9
"TSLA","2022-10-10",47
"TSLA","2022-10-11",45
"TSLA","2022-10-12",45
"TSLA","2022-10-13",48
"TSLA","2022-10-14",50
"TSLA","2022-10-15",16
"TSLA","2022-10-16",10
"TSLA","2022-10-17",51
"TSLA","2022-10-18",54
"TSLA","2022-10-19",89
"TSLA","2022-10-20",100
"TSLA","2022-10-21",59
"TSLA","2022-10-22",12
"TSLA","2022-10-23",8
"TSLA","2022-10-24",58
"TSLA","2022-10-25",49
"TSLA","2022-10-26",50
"TSLA","2022-10-27",50
"TSLA","2022-10-28",49
"TSLA","2022-10-29",13
"TSLA","2022-10-30",8
"TSLA","2022-10-31",40
